Discipline,n_samples,train_n,test_n,MSE,MAPE
SPACE SCIENCE,237,142,48,5635.915228496596,0.33761365940528254
MULTIDISCIPLINARY,217,130,44,7937.587490124716,0.4449687685570407
MATHEMATICS,396,237,80,14790.245133868992,0.33149958913500666
ECONOMICS & BUSINESS,544,326,109,25628.443279421874,0.3143045618942588
MICROBIOLOGY,804,482,161,64879.54287808893,0.341105795843395
COMPUTER SCIENCE,864,518,173,119310.48380530429,0.43774699219799335
PHYSICS,996,597,200,138992.6387906665,0.4065558574212875
IMMUNOLOGY,1178,706,236,140295.52181006665,0.34417803365499533
MOLECULAR BIOLOGY & GENETICS,1170,702,234,154299.9743932963,0.3647470893892683
GEOSCIENCES,1176,705,236,154758.8556184794,0.3627717671287292
AGRICULTURAL SCIENCES,1382,829,277,165881.0649858104,0.31751006939741816
PHARMACOLOGY & TOXICOLOGY,1390,834,278,170936.1956471082,0.3027576245860696
NEUROSCIENCE & BEHAVIOR,1299,779,260,176336.49295208248,0.3492900018362393
MATERIALS SCIENCE,1581,948,317,195785.53954537562,0.2996555998432544
PSYCHIATRY PSYCHOLOGY,1148,688,230,234667.55196623193,0.4601936258804911
ENVIRONMENT ECOLOGY,2067,1240,414,240183.8953921398,0.24440750918619822
PLANT & ANIMAL SCIENCE,1951,1170,391,270386.5237972295,0.2846142447146591
CHEMISTRY,2142,1285,429,285197.430767477,0.26559859555096343
BIOLOGY & BIOCHEMISTRY,1650,990,330,421821.0113066209,0.42940025751161603
ENGINEERING,2788,1672,558,448550.08543333295,0.24987282539055705
"SOCIAL SCIENCES, GENERAL",2408,1444,482,4743210.073906332,0.4345381178956749
CLINICAL MEDICINE,6755,4053,1351,6738541.265686909,0.4182435857160893
merged_all,34143,20485,6829,17695057.088717405,0.06704709490411426
